english,ipa,audio
cytologists,saɪtˈɑːlədʒˌɪsts,assets_small\cytologists.wav
cyanobacterium,sˌaɪɐnˌɑːbɐktˈɪɹiəm,assets_small\cyanobacterium.wav
cystoceles,sˈɪstoʊsəlz,assets_small\cystoceles.wav
czardoms,zˈɑːɹdəmz,assets_small\czardoms.wav
czaritza,zˈɑːɹɹɪtsə,assets_small\czaritza.wav
czardases,zˈɑːɹdeɪsᵻz,assets_small\czardases.wav
czardas,zˈɑːɹdəz,assets_small\czardas.wav
czaritsa,zˈɑːɹɹɪtsə,assets_small\czaritsa.wav
czarist,zˈɑːɹɹɪst,assets_small\czarist.wav
czapka,sˈiːzˈæpkə,assets_small\czapka.wav
czarevitch,zˈɛɹvɪtʃ,assets_small\czarevitch.wav
czars,zˈɑːɹz,assets_small\czars.wav
darking,dˈɑːɹkɪŋ,assets_small\darking.wav
danelaw,dˈeɪnlɔː,assets_small\danelaw.wav
dahabeeah,dˈæhɐbˌiːə,assets_small\dahabeeah.wav
dashboard,dˈæʃboːɹd,assets_small\dashboard.wav
dartled,dˈɑːɹɾəld,assets_small\dartled.wav
dasyure,dˈæsjuːɹə,assets_small\dasyure.wav
damselfish,dˈæmsɛlfɪʃ,assets_small\damselfish.wav
daguerreotypers,dˈeɪɡɹɪˌɑːtaɪpɚz,assets_small\daguerreotypers.wav
daisy,dˈeɪzi,assets_small\daisy.wav
deconsecrations,dˌiːkˌɑːnsɪkɹˈeɪʃənz,assets_small\deconsecrations.wav
depopulate,diːpˈɑːpjʊlˌeɪt,assets_small\depopulate.wav
defamatory,dᵻfˈæmətˌoːɹi,assets_small\defamatory.wav
decolourising,dᵻkˈʌlɚɹˌaɪzɪŋ,assets_small\decolourising.wav
deadman,dˈɛdmən,assets_small\deadman.wav
democratiser,dᵻmˈɑːkɹɐtˌaɪzɚ,assets_small\democratiser.wav
detruncates,dɪtɹˈʌŋkeɪts,assets_small\detruncates.wav
deprecator,dˈɛpɹɪkˌeɪɾɚ,assets_small\deprecator.wav
denotations,dᵻnoʊtˈeɪʃənz,assets_small\denotations.wav
dharmsala,dɑːɹmsˈɑːlə,assets_small\dharmsala.wav
dhootis,dˈuːɾiz,assets_small\dhootis.wav
dharmic,dˈɑːɹmɪk,assets_small\dharmic.wav
dhurries,dˈɜːɹiz,assets_small\dhurries.wav
dhooties,dˈuːɾiz,assets_small\dhooties.wav
dhooly,dˈuːli,assets_small\dhooly.wav
dhoora,dˈoːɹə,assets_small\dhoora.wav
dhotis,dˈoʊɾiz,assets_small\dhotis.wav
dhourras,dˈaʊɚɹəz,assets_small\dhourras.wav
disgregations,dɪsɡɹɪɡˈeɪʃənz,assets_small\disgregations.wav
dihedron,daɪhˈiːdɹən,assets_small\dihedron.wav
discipled,dɪssˈɪpəld,assets_small\discipled.wav
dissatisfies,dɪsˈæɾɪsfˌaɪz,assets_small\dissatisfies.wav
disabused,dˌɪsɐbjˈuːzd,assets_small\disabused.wav
dinnerwares,dˈɪnɚwˌɛɹz,assets_small\dinnerwares.wav
dichroiscopes,dˈaɪkɹɔɪskˌoʊps,assets_small\dichroiscopes.wav
discolourments,dɪskˈʌlɚmənts,assets_small\discolourments.wav
diazos,dˈaɪəzˌoʊz,assets_small\diazos.wav
djembe,dʒˈɛmb,assets_small\djembe.wav
djellabahs,dʒˈɛlæbəz,assets_small\djellabahs.wav
djellaba,dʒɛlˈɑːbə,assets_small\djellaba.wav
djebel,dʒˈɛbəl,assets_small\djebel.wav
djins,dʒˈɪnz,assets_small\djins.wav
djinns,dʒˈɪnz,assets_small\djinns.wav
djinni,dʒˈɪni,assets_small\djinni.wav
djellabah,dʒˈɛlæbə,assets_small\djellabah.wav
djinny,dʒˈɪni,assets_small\djinny.wav
doilies,dˈɔɪliz,assets_small\doilies.wav
doctorships,dˈɑːktɚʃˌɪps,assets_small\doctorships.wav
doobries,dˈuːbɹiz,assets_small\doobries.wav
douked,dˈaʊkt,assets_small\douked.wav
dovier,dˈoʊviɚ,assets_small\dovier.wav
dolmenic,dəlmˈɛnɪk,assets_small\dolmenic.wav
dognaping,dˈɑːɡneɪpɪŋ,assets_small\dognaping.wav
dozened,dˈʌzənd,assets_small\dozened.wav
dolly,dˈɑːli,assets_small\dolly.wav
dromedares,dɹˈoʊmdɛɹz,assets_small\dromedares.wav
drainages,dɹˈeɪnɪdʒᵻz,assets_small\drainages.wav
dratchells,dɹˈætʃɛlz,assets_small\dratchells.wav
drawnwork,dɹˈɔːnwɜːk,assets_small\drawnwork.wav
dropper,dɹˈɑːpɚ,assets_small\dropper.wav
drowsiheads,dɹˈaʊsihˌɛdz,assets_small\drowsiheads.wav
drawlingness,dɹˈɔːlɪŋnəs,assets_small\drawlingness.wav
dragonnade,dɹˈæɡənˌeɪd,assets_small\dragonnade.wav
driveabilities,dɹˌaɪvəbˈɪlᵻɾiz,assets_small\driveabilities.wav
dsomo,dˈiːsˈoʊmoʊ,assets_small\dsomo.wav
dsobos,dˈiːsˈoʊboʊz,assets_small\dsobos.wav
dsobo,dˈiːsˈoʊboʊ,assets_small\dsobo.wav
dsomos,dˈiːsˈoʊmoʊz,assets_small\dsomos.wav
dunghills,dˈʌŋhɪlz,assets_small\dunghills.wav
dumpcarts,dˈʌmpkɑːɹts,assets_small\dumpcarts.wav
ductless,dˈʌktləs,assets_small\ductless.wav
dummelheads,dˈʌməlhˌɛdz,assets_small\dummelheads.wav
duchess,dˈʌtʃɛs,assets_small\duchess.wav
dukkeripen,dˈʌkɚɹˌaɪpən,assets_small\dukkeripen.wav
dungeoned,dˈʌndʒənd,assets_small\dungeoned.wav
duodenums,dˈuːoʊdnəmz,assets_small\duodenums.wav
duskishly,dˈʌskɪʃli,assets_small\duskishly.wav
dvornik,dˈiːvˈoːɹnɪk,assets_small\dvornik.wav
dvorniks,dˈiːvˈoːɹnɪks,assets_small\dvorniks.wav
dvandvas,dˈiːvˈændvəz,assets_small\dvandvas.wav
dvandva,dˈiːvˈændvə,assets_small\dvandva.wav
dwarfishness,dwˈɔːɹfɪʃnəs,assets_small\dwarfishness.wav
dweeby,dwˈiːbi,assets_small\dweeby.wav
dwells,dwˈɛlz,assets_small\dwells.wav
dwelling,dwˈɛlɪŋ,assets_small\dwelling.wav
dwarflike,dwˈɔːɹflaɪk,assets_small\dwarflike.wav
dwaals,dwˈɑːlz,assets_small\dwaals.wav
dwile,dwˈaɪl,assets_small\dwile.wav
dwarfisms,dwˈɔːɹfɪzəmz,assets_small\dwarfisms.wav
dwelt,dwˈɛlt,assets_small\dwelt.wav
dyarchic,djˈɑːɹkɪk,assets_small\dyarchic.wav
dynein,dˈaɪniːn,assets_small\dynein.wav
dysphagias,dɪsfˈeɪdʒəz,assets_small\dysphagias.wav
dynatrons,dˈaɪnɐtɹˌɑːnz,assets_small\dynatrons.wav
dynamos,dˈaɪnɐmˌoʊz,assets_small\dynamos.wav
dynast,dˈaɪnæst,assets_small\dynast.wav
dysgraphia,dɪsɡɹˈæfiə,assets_small\dysgraphia.wav
dynastically,daɪnˈæstɪkli,assets_small\dynastically.wav
dynamogenesis,dˌaɪnɐmoʊdʒˈɛnᵻsˌɪs,assets_small\dynamogenesis.wav
dziggetais,dˈiːzˈɪɡɪtˌaɪz,assets_small\dziggetais.wav
dzeren,dˈiːzˈɛɹən,assets_small\dzeren.wav
dzerens,dˈiːzˈɛɹənz,assets_small\dzerens.wav
dzhos,dˈiːʒˈoʊz,assets_small\dzhos.wav
dziggetai,dˈiːzˈɪɡɪtˌaɪ,assets_small\dziggetai.wav
earthflax,ˈɜːθflæks,assets_small\earthflax.wav
earthliness,ˈɜːθlinəs,assets_small\earthliness.wav
eaved,ˈiːvd,assets_small\eaved.wav
earlship,ˈɜːlʃɪp,assets_small\earlship.wav
easselward,ˈiːsɛlwɚd,assets_small\easselward.wav
earthenware,ˈɜːθənwˌɛɹ,assets_small\earthenware.wav
eatches,ˈiːtʃᵻz,assets_small\eatches.wav
earner,ˈɜːnɚ,assets_small\earner.wav
earcons,ˈɪɹkənz,assets_small\earcons.wav
ebonics,ɛbˈɑːnɪks,assets_small\ebonics.wav
ebooks,ˈiːbʊks,assets_small\ebooks.wav
eburnifications,ˌɛbɚnˌɪfɪkˈeɪʃənz,assets_small\eburnifications.wav
ebriety,ɛbɹˈaɪəɾi,assets_small\ebriety.wav
ebionisms,ˈɛbɪənˌɪzəmz,assets_small\ebionisms.wav
ebionitic,ˌɛbaɪˌɑːnˈɪɾɪk,assets_small\ebionitic.wav
ebriose,ˈɛbɹɪˌoʊs,assets_small\ebriose.wav
ebbets,ˈɛbɪts,assets_small\ebbets.wav
ebonite,ˈɛbənˌaɪt,assets_small\ebonite.wav
echocardiographic,ˌɛkəkˌɑːɹdɪoʊɡɹˈæfɪk,assets_small\echocardiographic.wav
ecospecies,ˈiːkoʊspˌiːsiːz,assets_small\ecospecies.wav
economic,ˌiːkənˈɑːmɪk,assets_small\economic.wav
ectoplasmic,ˌɛktəplˈæzmɪk,assets_small\ectoplasmic.wav
economists,ɪkˈɑːnəmˌɪsts,assets_small\economists.wav
ecstasying,ˈɛkstəsiɪŋ,assets_small\ecstasying.wav
echocardiographer,ˌɛkəkˌɑːɹdɪˈoʊɡɹəfɚ,assets_small\echocardiographer.wav
ecstasised,ˈɛkstɐsˌaɪzd,assets_small\ecstasised.wav
ecritoire,ˈɛkɹɪtwˌɑːɹ,assets_small\ecritoire.wav
edibility,ˌɛdəbˈɪlᵻɾi,assets_small\edibility.wav
edificatory,ˈɛdɪfˌɪkətˌoːɹi,assets_small\edificatory.wav
educatabilities,ˌɛdʒuːkˌeɪɾəbˈɪlᵻɾiz,assets_small\educatabilities.wav
edition,ᵻdˈɪʃən,assets_small\edition.wav
educts,ˈɛdʌkts,assets_small\educts.wav
edited,ˈɛdɪɾᵻd,assets_small\edited.wav
eddishes,ˈɛdɪʃᵻz,assets_small\eddishes.wav
edgily,ˈɛdʒili,assets_small\edgily.wav
edifiers,ˈɛdɪfˌaɪɚz,assets_small\edifiers.wav
eellike,ˈiːlaɪk,assets_small\eellike.wav
eelpout,ˈiːlpaʊt,assets_small\eelpout.wav
eeches,ˈiːtʃᵻz,assets_small\eeches.wav
eeriness,ˈɪɹinəs,assets_small\eeriness.wav
eelwrack,ˈiːlɹæk,assets_small\eelwrack.wav
eeriest,ˈɪɹiɪst,assets_small\eeriest.wav
eevning,ˈiːvənɪŋ,assets_small\eevning.wav
eelworm,ˈiːlwɜːm,assets_small\eelworm.wav
eelfare,ˈiːlfɛɹ,assets_small\eelfare.wav
effray,ˈɛfɹeɪ,assets_small\effray.wav
effecting,ɪfˈɛktɪŋ,assets_small\effecting.wav
effiguration,ˌɛfɪɡjɚɹˈeɪʃən,assets_small\effiguration.wav
effetely,ˈɛfiːtli,assets_small\effetely.wav
effeteness,ˈɛfiːtnəs,assets_small\effeteness.wav
effigurate,ˈɛfɪɡjˌʊɹeɪt,assets_small\effigurate.wav
effaces,ɪfˈeɪsᵻz,assets_small\effaces.wav
effeminates,ɛfˈɛmᵻnˌeɪts,assets_small\effeminates.wav
effleuraging,ˈɛfəljˌuːɹɪdʒɪŋ,assets_small\effleuraging.wav
egotising,ˈɛɡətˌaɪzɪŋ,assets_small\egotising.wav
eggless,ˈɛɡləs,assets_small\eggless.wav
egressives,iːɡɹˈɛsɪvz,assets_small\egressives.wav
egyptians,ɪdʒˈɪpʃənz,assets_small\egyptians.wav
egocentricities,ˌiːɡoʊsəntɹˈɪsᵻɾiz,assets_small\egocentricities.wav
egotise,ˈɛɡətˌaɪz,assets_small\egotise.wav
egressions,iːɡɹˈɛʃənz,assets_small\egressions.wav
egestions,ɪdʒˈɛstʃənz,assets_small\egestions.wav
egestive,ɪdʒˈɛstɪv,assets_small\egestive.wav
ehing,ˈeɪɪŋ,assets_small\ehing.wav
eirenical,aɪɹˈɛnɪkəl,assets_small\eirenical.wav
eirenically,aɪɹˈɛnɪkli,assets_small\eirenically.wav
eisteddfod,ˈaɪstɪdfˌɑːd,assets_small\eisteddfod.wav
eighteenmos,eɪtˈiːnmoʊz,assets_small\eighteenmos.wav
eighties,ˈeɪɾiz,assets_small\eighties.wav
eiswein,ˈaɪswiːn,assets_small\eiswein.wav
eigenmode,ˈaɪdʒənmˌoʊd,assets_small\eigenmode.wav
eightsomes,ˈeɪtsʌmz,assets_small\eightsomes.wav
eilds,ˈaɪldz,assets_small\eilds.wav
ejaculating,ɪdʒˈækjʊlˌeɪɾɪŋ,assets_small\ejaculating.wav
ejaculate,ɪdʒˈækjʊlˌeɪt,assets_small\ejaculate.wav
ejectors,ɪdʒˈɛktɚz,assets_small\ejectors.wav
ejaculatory,ɪdʒˈækjʊlətˌoːɹi,assets_small\ejaculatory.wav
ejectable,ɪdʒˈɛktəbəl,assets_small\ejectable.wav
ejaculator,ɪdʒˈækjʊlˌeɪɾɚ,assets_small\ejaculator.wav
ejections,ɪdʒˈɛkʃənz,assets_small\ejections.wav
ejected,ɪdʒˈɛktᵻd,assets_small\ejected.wav
ejecta,ɪdʒˈɛktə,assets_small\ejecta.wav
ekistician,ˌɛkɪstˈɪʃən,assets_small\ekistician.wav
ektexines,ˈɛktɪksˌaɪnz,assets_small\ektexines.wav
ekistics,ɛkˈɪstɪks,assets_small\ekistics.wav
ekpwele,ˈɛkpwɛl,assets_small\ekpwele.wav
eking,ˈiːkɪŋ,assets_small\eking.wav
ekistic,ɛkˈɪstɪk,assets_small\ekistic.wav
ekkas,ˈɛkəz,assets_small\ekkas.wav
ekphrasis,ɛkfɹˈɑːsiz,assets_small\ekphrasis.wav
eklogites,ˈɛklədʒˌaɪts,assets_small\eklogites.wav
electroanalytic,ɪlˌɛktɹoʊˌænɐlˈɪɾɪk,assets_small\electroanalytic.wav
electrophones,ɪlˌɛktɹoʊfˈoʊnz,assets_small\electrophones.wav
eloignments,ᵻlˈɔɪnmənts,assets_small\eloignments.wav
electroanalytical,ɪlˌɛktɹoʊˌænɐlˈɪɾɪkəl,assets_small\electroanalytical.wav
electrocardiogram,ɪlˌɛktɹoʊkˈɑːɹdɪˌoʊɡɹæm,assets_small\electrocardiogram.wav
elegant,ˈɛlɪɡənt,assets_small\elegant.wav
elucubrations,ᵻlˌuːkəbɹˈeɪʃənz,assets_small\elucubrations.wav
electrofluors,ɪlˌɛktɹoʊflˈʊɹz,assets_small\electrofluors.wav
ellipticity,ɪlɪptˈɪsᵻɾi,assets_small\ellipticity.wav
emmoving,ˈɛmuːvɪŋ,assets_small\emmoving.wav
embryogeny,ˌɛmbɹɪˈɑːdʒɛni,assets_small\embryogeny.wav
emplanes,ɛmplˈeɪnz,assets_small\emplanes.wav
emprizes,ɛmpɹˈaɪzᵻz,assets_small\emprizes.wav
emetophobias,ɪmˌɛɾəfˈoʊbiəz,assets_small\emetophobias.wav
emblazons,ɛmblˈeɪzənz,assets_small\emblazons.wav
empire,ˈɛmpaɪɚ,assets_small\empire.wav
emplaning,ɛmplˈeɪnɪŋ,assets_small\emplaning.wav
emends,ɪmˈɛndz,assets_small\emends.wav
entreasures,ɛntɹˈɛʒɚz,assets_small\entreasures.wav
endures,ɛndˈʊɹz,assets_small\endures.wav
ensilabilities,ɛnsˌaɪləbˈɪlᵻɾiz,assets_small\ensilabilities.wav
enzymologies,ˌɛnzɪmˈɑːlədʒiz,assets_small\enzymologies.wav
enervated,ˈɛnɚvˌeɪɾᵻd,assets_small\enervated.wav
enform,ɛnfˈɔːɹm,assets_small\enform.wav
encreased,ɛŋkɹˈiːst,assets_small\encreased.wav
endways,ɛndwˈeɪz,assets_small\endways.wav
enterdealing,ˈɛntɚdˌiːlɪŋ,assets_small\enterdealing.wav
eosinophilous,ˈiːəsˌɪnəfˌɪləs,assets_small\eosinophilous.wav
eolipile,ˈiːəlˌɪpaɪl,assets_small\eolipile.wav
eobiont,ˈiːəbɪˌɑːnt,assets_small\eobiont.wav
eosins,ˈiːəsˌɪnz,assets_small\eosins.wav
eolith,ˈiːəlˌɪθ,assets_small\eolith.wav
eonian,iːˈɑːniən,assets_small\eonian.wav
eorls,ˈeɪɚlz,assets_small\eorls.wav
eoliennes,ˈiːəlˌiənz,assets_small\eoliennes.wav
eolopile,ˈiːəlˌɑːpaɪl,assets_small\eolopile.wav
epitaxis,ˌɛpɪtˈæksɪs,assets_small\epitaxis.wav
epidotised,ˈɛpɪdˌɑːɾaɪzd,assets_small\epidotised.wav
epazotes,ˈɛpɐzˌoʊts,assets_small\epazotes.wav
epiphyllous,ˈɛpɪfˌɪləs,assets_small\epiphyllous.wav
episcias,ᵻpˈɪsiəz,assets_small\episcias.wav
epurations,ˌɛpjɚɹˈeɪʃənz,assets_small\epurations.wav
epuisee,ˈɛpjuːˌɪsiː,assets_small\epuisee.wav
ependyma,ˈɛpəndˌɪmə,assets_small\ependyma.wav
ephebus,ˈɛfɛbəs,assets_small\ephebus.wav
equally,ˈiːkwəli,assets_small\equally.wav
equibalances,ˌiːkwɪbˈælənsᵻz,assets_small\equibalances.wav
equate,ɪkwˈeɪt,assets_small\equate.wav
equids,ˈɛkwɪdz,assets_small\equids.wav
equiponderates,ɪkwˈɪpəndɚɹəts,assets_small\equiponderates.wav
equisetum,ˌiːkwɪsˈɛɾəm,assets_small\equisetum.wav
equidistant,ˌiːkwɪdˈɪstənt,assets_small\equidistant.wav
equivalve,ɪkwˈɪvælv,assets_small\equivalve.wav
equatorially,ɪkwɐtˈoːɹɪəli,assets_small\equatorially.wav
erysipeloids,ˈɜːɹɪsˌaɪplɔɪdz,assets_small\erysipeloids.wav
erethistic,ɪɹɪθˈɪstɪk,assets_small\erethistic.wav
erectnesses,ɪɹˈɛktnəsᵻz,assets_small\erectnesses.wav
eruditenesses,ˈɛɹuːdˌaɪtnəsᵻz,assets_small\eruditenesses.wav
ervils,ˈɜːvəlz,assets_small\ervils.wav
ergates,ˈɜːɡeɪts,assets_small\ergates.wav
eroticists,ɪɹˈɑːɾɪsˌɪsts,assets_small\eroticists.wav
erroneousnesses,ˈɛɹoʊnˌaʊsnəsᵻz,assets_small\erroneousnesses.wav
erotologies,ɪɹoʊtˈɑːlədʒiz,assets_small\erotologies.wav
escapologies,ˌɛskɐpˈɑːlədʒiz,assets_small\escapologies.wav
estreating,ˈɛstɹiːˌeɪɾɪŋ,assets_small\estreating.wav
estimations,ˌɛstᵻmˈeɪʃənz,assets_small\estimations.wav
escribanos,ˌɛskɹɪbˈɑːnoʊz,assets_small\escribanos.wav
esotropia,ˌɛsətɹˈoʊpiə,assets_small\esotropia.wav
eschewers,ˈɛʃuːɚz,assets_small\eschewers.wav
estoppage,ˈɛstɑːpɪdʒ,assets_small\estoppage.wav
escrols,ˈɛskɹɑːlz,assets_small\escrols.wav
escolars,ˈɛskoʊlɚz,assets_small\escolars.wav
eternalise,ɪtˈɜːnəlˌaɪz,assets_small\eternalise.wav
ethnolinguistic,ˌɛθnoʊlɪŋɡwˈɪstɪk,assets_small\ethnolinguistic.wav
ethnomusicologists,ˌɛθnoʊmjˌuːzɪkˈɑːlədʒˌɪsts,assets_small\ethnomusicologists.wav
ethnogenies,ˈɛθnədʒˌɛniz,assets_small\ethnogenies.wav
ethnomusicological,ˌɛθnoʊmjˌuːzɪkəlˈɑːdʒɪkəl,assets_small\ethnomusicological.wav
ethinyl,ˈiːθɪnˌaɪl,assets_small\ethinyl.wav
ethiopses,ˈiːθɪˌɑːpsᵻz,assets_small\ethiopses.wav
ethicalnesses,ˈɛθɪkˌælnəsᵻz,assets_small\ethicalnesses.wav
ethicals,ˈɛθɪkəlz,assets_small\ethicals.wav
europhiles,jˈʊɹɹoʊfˌaɪlz,assets_small\europhiles.wav
euthanaze,jˈuːθɐnˌeɪz,assets_small\euthanaze.wav
euploidies,jˈuːplɔɪdiz,assets_small\euploidies.wav
eucharises,jˈuːkɚɹˌaɪzᵻz,assets_small\eucharises.wav
eupepticities,jˌuːpɪptˈɪsᵻɾiz,assets_small\eupepticities.wav
eudaemonistical,jˌuːdiːmənˈɪstɪkəl,assets_small\eudaemonistical.wav
eudaemonias,jˌuːdiːmˈoʊniəz,assets_small\eudaemonias.wav
euchring,jˈuːkɹɪŋ,assets_small\euchring.wav
euphonising,jˈuːfənˌaɪzɪŋ,assets_small\euphonising.wav
evenfalls,ˈiːvənfˌɔːlz,assets_small\evenfalls.wav
evenhandedly,ˈiːvənhˌændᵻdli,assets_small\evenhandedly.wav
evangelicalisms,ˌiːvɐndʒˈɛlɪkəlˌɪzəmz,assets_small\evangelicalisms.wav
evolutionary,ˌɛvəlˈuːʃənˌɛɹi,assets_small\evolutionary.wav
evitates,ˈɛvᵻtˌeɪts,assets_small\evitates.wav
eventration,ᵻvəntɹˈeɪʃən,assets_small\eventration.wav
evolution,ˌɛvəlˈuːʃən,assets_small\evolution.wav
evaporation,ɪvˌæpɚɹˈeɪʃən,assets_small\evaporation.wav
evergreens,ˈɛvɚɡɹˌiːnz,assets_small\evergreens.wav
ewhow,jˈuːhaʊ,assets_small\ewhow.wav
ewking,jˈuːkɪŋ,assets_small\ewking.wav
ewers,jˈuːɚz,assets_small\ewers.wav
ewked,jˈuːkt,assets_small\ewked.wav
ewest,jˈuːɪst,assets_small\ewest.wav
ewghen,jˈuːɡən,assets_small\ewghen.wav
ewftes,jˈuːfts,assets_small\ewftes.wav
exocytosis,ɛɡzˌɑːsɪtˈoʊsɪs,assets_small\exocytosis.wav
excortications,ɛkskˌɔːɹɾɪkˈeɪʃənz,assets_small\excortications.wav
executer,ˈɛksᵻkjˌuːɾɚ,assets_small\executer.wav
exorability,ɛɡzˌoːɹəbˈɪlᵻɾi,assets_small\exorability.wav
exanthematic,ɛɡzˌænθɪmˈæɾɪk,assets_small\exanthematic.wav
exceptionabilities,ɛksˈɛpʃənəbˈɪlᵻɾiz,assets_small\exceptionabilities.wav
exserting,ɛkssˈɜːɾɪŋ,assets_small\exserting.wav
excoriate,ɛkskˈoːɹɪˌeɪt,assets_small\excoriate.wav
exhausters,ɛɡzˈɔːstɚz,assets_small\exhausters.wav
eyewash,ˈaɪwɑːʃ,assets_small\eyewash.wav
eyednesses,ˈaɪdnəsᵻz,assets_small\eyednesses.wav
eyeleted,ˈaɪlɪɾᵻd,assets_small\eyeleted.wav
eyeliads,ˈaɪlɪˌædz,assets_small\eyeliads.wav
eyespot,ˈaɪspɑːt,assets_small\eyespot.wav
eyewater,ˈaɪwɔːɾɚ,assets_small\eyewater.wav
eyeblink,ˈaɪblɪŋk,assets_small\eyeblink.wav
eyebrows,ˈaɪbɹaʊz,assets_small\eyebrows.wav
eyeballs,ˈaɪbɔːlz,assets_small\eyeballs.wav
fauvist,fˈoʊvɪst,assets_small\fauvist.wav
fathomable,fˈæðəməbəl,assets_small\fathomable.wav
fader,fˈeɪdɚ,assets_small\fader.wav
faintheartedness,fˈeɪnthɑːɹɾᵻdnəs,assets_small\faintheartedness.wav
fakirs,fˈækɪɹz,assets_small\fakirs.wav
fancifies,fˈænsᵻfˌaɪz,assets_small\fancifies.wav
farcy,fˈɑːɹsi,assets_small\farcy.wav
farsightednesses,fˈɑːɹsaɪtˌɛdnəsᵻz,assets_small\farsightednesses.wav
faggier,fˈæɡɪɚ,assets_small\faggier.wav
feminises,fˈɛmɪnˌaɪzᵻz,assets_small\feminises.wav
felicities,fɛlˈɪsᵻɾiz,assets_small\felicities.wav
federacies,fˈɛdɚɹəsiz,assets_small\federacies.wav
fertilizations,fˌɜːɾɪlᵻzˈeɪʃənz,assets_small\fertilizations.wav
fencelessnesses,fˈɛnsɪləsnəsᵻz,assets_small\fencelessnesses.wav
feedbox,fˈiːdbɑːks,assets_small\feedbox.wav
featlinesses,fˈiːtlaɪnəsᵻz,assets_small\featlinesses.wav
feudalities,fjuːdˈælᵻɾiz,assets_small\feudalities.wav
fecundators,fˈɛkəndˌeɪɾɚz,assets_small\fecundators.wav
finer,fˈaɪnɚ,assets_small\finer.wav
fireplaced,fˈaɪɚpleɪst,assets_small\fireplaced.wav
fictitious,fɪktˈɪʃəs,assets_small\fictitious.wav
fixing,fˈɪksɪŋ,assets_small\fixing.wav
fixtureless,fˈɪkstʃɚləs,assets_small\fixtureless.wav
figure,fˈɪɡjɚ,assets_small\figure.wav
finickiness,fˈɪnɪkinəs,assets_small\finickiness.wav
firstness,fˈɜːstnəs,assets_small\firstness.wav
firestorms,fˈaɪɚstoːɹmz,assets_small\firestorms.wav
fjord,fɪˈoːɹd,assets_small\fjord.wav
fjeld,ˈɛfdʒˈɛld,assets_small\fjeld.wav
fjelds,ˈɛfdʒˈɛldz,assets_small\fjelds.wav
fjords,fɪˈoːɹdz,assets_small\fjords.wav
fjordic,fɪˈoːɹdɪk,assets_small\fjordic.wav
flouses,flˈaʊsᵻz,assets_small\flouses.wav
floccillations,flˌɑːksɪlˈeɪʃənz,assets_small\floccillations.wav
flexile,flˈɛksaɪl,assets_small\flexile.wav
flattened,flˈæʔn̩d,assets_small\flattened.wav
flannelled,flˈænəld,assets_small\flannelled.wav
flabella,fleɪbˈɛlə,assets_small\flabella.wav
flutterers,flˈʌɾɚɹɚz,assets_small\flutterers.wav
flexitarian,flˌɛksɪtˈɛɹiən,assets_small\flexitarian.wav
flares,flˈɛɹz,assets_small\flares.wav
foretriangles,fˈɔːɹtɹiəŋɡəlz,assets_small\foretriangles.wav
footballene,fˈʊtbɐlˌiːn,assets_small\footballene.wav
fortunateness,fˈɔːɹtʃənətnəs,assets_small\fortunateness.wav
forrad,fˈɔːɹæd,assets_small\forrad.wav
fortunized,fˈɔːɹtʃʊnˌaɪzd,assets_small\fortunized.wav
foredid,fˈɔːɹdɪd,assets_small\foredid.wav
forzando,fɔːɹzˈændoʊ,assets_small\forzando.wav
forgoer,fˈɔːɹɡoʊɚ,assets_small\forgoer.wav
forcibilities,fˌoːɹsəbˈɪlᵻɾiz,assets_small\forcibilities.wav
froshes,fɹˈɑːʃᵻz,assets_small\froshes.wav
francized,fɹˈænsaɪzd,assets_small\francized.wav
fractographies,fɹæktˈɑːɡɹəfiz,assets_small\fractographies.wav
fragmentize,fɹˈæɡməntˌaɪz,assets_small\fragmentize.wav
fragility,fɹædʒˈɪlᵻɾi,assets_small\fragility.wav
frippet,fɹˈɪpɪt,assets_small\frippet.wav
frugal,fɹˈuːɡəl,assets_small\frugal.wav
frontoons,fɹʌntˈuːnz,assets_small\frontoons.wav
fructify,fɹˈʌktᵻfˌaɪ,assets_small\fructify.wav
furnishments,fˈɜːnɪʃmənts,assets_small\furnishments.wav
futharks,fˈʌθɑːɹks,assets_small\futharks.wav
furmety,fˈɜːmɪɾi,assets_small\furmety.wav
fuggy,fˈʌɡi,assets_small\fuggy.wav
furane,fjˈʊɹɹeɪn,assets_small\furane.wav
futurities,fjˈuːtʃɚɹᵻɾiz,assets_small\futurities.wav
furnishings,fˈɜːnɪʃɪŋz,assets_small\furnishings.wav
funebral,fˈʌnɛbɹəl,assets_small\funebral.wav
fulminates,fˈʊlmᵻnˌeɪts,assets_small\fulminates.wav
fytte,fˈɪt,assets_small\fytte.wav
fyttes,fˈɪts,assets_small\fyttes.wav
fyces,fˈaɪsᵻz,assets_small\fyces.wav
fyked,fˈaɪkt,assets_small\fyked.wav
fynboses,fˈɪnboʊsᵻz,assets_small\fynboses.wav
fyles,fˈaɪlz,assets_small\fyles.wav
fykes,fˈaɪks,assets_small\fykes.wav
fyking,fˈaɪkɪŋ,assets_small\fyking.wav
fyrds,fˈɪədz,assets_small\fyrds.wav
garvies,ɡˈɑːɹviz,assets_small\garvies.wav
garnering,ɡˈɑːɹnɚɹɪŋ,assets_small\garnering.wav
ganefs,ɡˈeɪnəfs,assets_small\ganefs.wav
gawsiest,ɡˈɔːsiɪst,assets_small\gawsiest.wav
